arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
-0.23421,-0.45561,2.00275,-0.10791,0.03842,-0.04368,0.36694,-0.08833,-0.44930,0.02877,0.71181,-0.02967,0.70116,1739073734
-0.23452,-0.45510,2.00227,-0.10791,0.03842,-0.04376,0.36697,-0.08845,-0.44946,0.02885,0.71182,-0.02974,0.70114,1739073735
-0.23456,-0.45431,2.00136,-0.10792,0.03847,-0.04389,0.36714,-0.08851,-0.44969,0.02881,0.71179,-0.02972,0.70117,1739073735
-0.21850,-0.45791,1.97709,-0.08957,0.06471,-0.04786,0.37918,-0.08525,-0.44624,0.02750,0.71133,-0.02992,0.70168,1739073735
-0.21496,-0.45267,1.95870,-0.08112,0.08545,-0.05516,0.38387,-0.08509,-0.44657,0.02674,0.71405,-0.02903,0.69898,1739073735
-0.21130,-0.44462,1.93234,-0.07317,0.10684,-0.05531,0.39184,-0.08548,-0.44718,0.02807,0.71509,-0.03070,0.69779,1739073735
-0.20777,-0.43645,1.90802,-0.06549,0.12622,-0.06129,0.39892,-0.08561,-0.44794,0.02747,0.71625,-0.03007,0.69665,1739073736
-0.20402,-0.42779,1.88227,-0.05950,0.14707,-0.06220,0.40630,-0.08566,-0.44865,0.02797,0.71755,-0.03056,0.69527,1739073736
-0.20025,-0.42017,1.85692,-0.05565,0.16771,-0.06502,0.41390,-0.08571,-0.44885,0.02699,0.71862,-0.02970,0.69425,1739073736
-0.19654,-0.41230,1.83223,-0.04697,0.18739,-0.06909,0.42118,-0.08544,-0.44914,0.02761,0.71957,-0.02974,0.69324,1739073736
-0.19302,-0.40344,1.80558,-0.04109,0.20940,-0.07254,0.42862,-0.08531,-0.44948,0.02751,0.72102,-0.02911,0.69175,1739073736
-0.18940,-0.39310,1.77705,-0.03826,0.23135,-0.07263,0.43641,-0.08523,-0.45012,0.02730,0.72233,-0.02876,0.69041,1739073737
