arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
-0.05809,0.30451,1.13640,-0.10948,-1.35613,-0.00343,0.63771,-0.01577,-0.51326,-0.00986,0.04252,0.02498,0.99873,1739067305
-0.05810,0.30451,1.13637,-0.10946,-1.35612,-0.00339,0.63773,-0.01577,-0.51326,-0.00984,0.04252,0.02496,0.99874,1739067306
-0.05809,0.30452,1.13639,-0.10948,-1.35616,-0.00342,0.63771,-0.01576,-0.51326,-0.00985,0.04251,0.02498,0.99874,1739067306
-0.05562,0.28385,1.15602,-0.11370,-1.35016,-0.00338,0.64004,-0.01354,-0.50742,-0.01038,0.04498,0.02827,0.99853,1739067306
-0.05355,0.23909,1.20155,-0.12280,-1.32391,-0.00316,0.64296,-0.01081,-0.49815,-0.01152,0.05845,0.03367,0.99766,1739067306
-0.05298,0.20155,1.23942,-0.12344,-1.29306,-0.00297,0.64472,-0.01062,-0.49182,-0.01201,0.07400,0.03413,0.99660,1739067306
-0.05255,0.16462,1.27594,-0.12356,-1.26415,-0.00091,0.64618,-0.01060,-0.48497,-0.01152,0.08823,0.03417,0.99545,1739067307
-0.05220,0.12948,1.30979,-0.12370,-1.23736,-0.00087,0.64744,-0.01063,-0.47793,-0.01204,0.10091,0.03426,0.99423,1739067307
-0.05190,0.09364,1.34276,-0.12411,-1.20580,-0.00051,0.64863,-0.01069,-0.47099,-0.01259,0.11517,0.03438,0.99267,1739067307
-0.05135,0.05952,1.37029,-0.12451,-1.17167,0.00060,0.65072,-0.01068,-0.46387,-0.01300,0.12886,0.03450,0.99098,1739067307
-0.05078,0.02396,1.39750,-0.12491,-1.13704,0.00175,0.65305,-0.01071,-0.45571,-0.01348,0.14190,0.03455,0.98919,1739067307
-0.05047,-0.01143,1.42243,-0.12661,-1.10248,0.00618,0.65574,-0.01072,-0.44687,-0.01262,0.15390,0.03479,0.98739,1739067308
-0.04986,-0.04175,1.43919,-0.12785,-1.06213,0.01103,0.65899,-0.01074,-0.43972,-0.01178,0.16720,0.03474,0.98524,1739067308
-0.04932,-0.07124,1.45512,-0.13137,-1.02443,0.01261,0.66195,-0.01043,-0.43229,-0.01293,0.17913,0.03592,0.98308,1739067308
-0.04851,-0.10026,1.46896,-0.13202,-0.98601,0.01747,0.66523,-0.01048,-0.42450,-0.01211,0.19064,0.03548,0.98094,1739067308
-0.04789,-0.13052,1.48298,-0.13289,-0.94500,0.02159,0.66833,-0.01068,-0.41631,-0.01179,0.20286,0.03497,0.97851,1739067308
-0.04728,-0.15596,1.49131,-0.13604,-0.90253,0.02781,0.67147,-0.01061,-0.40959,-0.01104,0.21538,0.03510,0.97584,1739067309
-0.04657,-0.18058,1.49962,-0.14014,-0.86087,0.03342,0.67397,-0.01035,-0.40315,-0.01084,0.22785,0.03563,0.97298,1739067309
-0.04584,-0.20663,1.50718,-0.14169,-0.81682,0.03794,0.67685,-0.01058,-0.39577,-0.01080,0.24035,0.03494,0.97000,1739067309
-0.04521,-0.22871,1.51095,-0.14692,-0.77045,0.04766,0.67928,-0.01045,-0.39001,-0.00927,0.25413,0.03491,0.96650,1739067309
