arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
0.03645,-0.03317,1.15163,-0.15923,-0.23674,0.01407,0.69836,0.03283,-0.47532,-0.06337,0.42462,0.06330,0.90093,1739073268
0.03628,-0.03291,1.15161,-0.15928,-0.23683,0.01402,0.69827,0.03271,-0.47548,-0.06336,0.42469,0.06325,0.90090,1739073268
0.03614,-0.03261,1.15156,-0.15943,-0.23700,0.01408,0.69818,0.03262,-0.47566,-0.06336,0.42473,0.06324,0.90088,1739073269
0.03372,-0.03557,1.15301,-0.17390,-0.23687,0.01991,0.69881,0.03157,-0.47417,-0.06586,0.42406,0.06538,0.90087,1739073269
0.01907,-0.04362,1.15605,-0.21711,-0.23637,0.05313,0.70106,0.02327,-0.46986,-0.06472,0.42271,0.06503,0.90161,1739073269
0.00543,-0.04350,1.15540,-0.25623,-0.23658,0.08008,0.70121,0.01542,-0.46987,-0.06491,0.42303,0.06532,0.90142,1739073269
-0.00940,-0.04347,1.15511,-0.29530,-0.23690,0.10696,0.70111,0.00673,-0.46995,-0.06487,0.42357,0.06509,0.90119,1739073269
-0.02438,-0.04323,1.15339,-0.33737,-0.23760,0.13589,0.70144,-0.00194,-0.46968,-0.06507,0.42355,0.06526,0.90117,1739073269
-0.03981,-0.04250,1.15167,-0.37955,-0.24106,0.16558,0.70177,-0.01075,-0.46945,-0.06467,0.42271,0.06540,0.90159,1739073270
-0.05475,-0.04140,1.14870,-0.42338,-0.24174,0.19583,0.70192,-0.01936,-0.46942,-0.06500,0.42283,0.06586,0.90147,1739073270
-0.06940,-0.04001,1.14545,-0.46397,-0.24517,0.22513,0.70233,-0.02771,-0.46917,-0.06435,0.42189,0.06598,0.90195,1739073270
-0.08460,-0.03897,1.14226,-0.50553,-0.24563,0.25389,0.70226,-0.03666,-0.46909,-0.06448,0.42223,0.06587,0.90179,1739073270
-0.09977,-0.03731,1.13823,-0.54683,-0.24809,0.28389,0.70238,-0.04546,-0.46895,-0.06380,0.42180,0.06570,0.90205,1739073270
-0.11461,-0.03509,1.13239,-0.59129,-0.25012,0.31488,0.70283,-0.05403,-0.46866,-0.06413,0.42120,0.06631,0.90226,1739073271
-0.12876,-0.03284,1.12751,-0.63201,-0.25154,0.34462,0.70265,-0.06230,-0.46881,-0.06371,0.42136,0.06628,0.90222,1739073271
-0.14367,-0.03029,1.12179,-0.67436,-0.25415,0.37446,0.70263,-0.07098,-0.46878,-0.06367,0.42098,0.06656,0.90238,1739073271
-0.15876,-0.02880,1.11695,-0.71800,-0.25473,0.40571,0.70218,-0.07999,-0.46862,-0.06372,0.42160,0.06642,0.90210,1739073271
-0.17371,-0.02446,1.10786,-0.76478,-0.25833,0.44030,0.70253,-0.08859,-0.46867,-0.06335,0.42073,0.06710,0.90248,1739073271
-0.18778,-0.02037,1.09853,-0.80937,-0.25881,0.47378,0.70266,-0.09711,-0.46880,-0.06330,0.42097,0.06699,0.90238,1739073272
-0.20255,-0.01700,1.08971,-0.85512,-0.26026,0.50799,0.70271,-0.10605,-0.46856,-0.06317,0.42099,0.06688,0.90239,1739073272
-0.21624,-0.01325,1.08153,-0.89855,-0.26344,0.53997,0.70245,-0.11405,-0.46866,-0.06307,0.42082,0.06749,0.90243,1739073272
-0.22966,-0.00894,1.07143,-0.94456,-0.26419,0.57541,0.70233,-0.12228,-0.46877,-0.06303,0.42135,0.06747,0.90219,1739073272
-0.24323,-0.00454,1.06155,-0.98877,-0.26579,0.60897,0.70200,-0.13059,-0.46895,-0.06299,0.42175,0.06741,0.90201,1739073272
-0.25662,0.00065,1.05019,-1.03343,-0.26810,0.64310,0.70188,-0.13881,-0.46913,-0.06297,0.42184,0.06750,0.90196,1739073273
-0.27040,0.00705,1.03610,-1.08338,-0.27260,0.68191,0.70221,-0.14705,-0.46911,-0.06278,0.42120,0.06844,0.90220,1739073273
-0.28334,0.01358,1.02173,-1.13040,-0.27371,0.72016,0.70229,-0.15539,-0.46936,-0.06251,0.42167,0.06786,0.90205,1739073273
-0.29623,0.01997,1.00799,-1.17778,-0.27820,0.75754,0.70222,-0.16320,-0.46951,-0.06221,0.42150,0.06862,0.90209,1739073273
-0.30956,0.02632,0.99324,-1.22740,-0.28240,0.79722,0.70221,-0.17150,-0.46940,-0.06197,0.42149,0.06905,0.90207,1739073273
-0.32266,0.03371,0.97681,-1.27809,-0.28628,0.83772,0.70218,-0.17984,-0.46950,-0.06206,0.42171,0.06942,0.90194,1739073274
-0.33621,0.04066,0.96117,-1.32651,-0.29154,0.87728,0.70186,-0.18836,-0.46948,-0.06135,0.42184,0.06956,0.90192,1739073274
-0.34900,0.05000,0.94159,-1.37962,-0.29943,0.92119,0.70201,-0.19608,-0.46971,-0.06058,0.42148,0.07114,0.90201,1739073274
-0.36227,0.05898,0.92111,-1.43253,-0.30415,0.96468,0.70211,-0.20499,-0.46959,-0.06075,0.42180,0.07105,0.90186,1739073274
-0.37530,0.06882,0.90042,-1.48495,-0.30973,1.00832,0.70172,-0.21359,-0.47002,-0.06051,0.42252,0.07111,0.90153,1739073274
-0.38817,0.08029,0.87718,-1.53566,-0.31823,1.05052,0.70161,-0.22184,-0.47048,-0.05996,0.42246,0.07197,0.90153,1739073275
-0.40084,0.09161,0.85237,-1.58757,-0.32681,1.09528,0.70184,-0.23029,-0.47033,-0.05921,0.42238,0.07237,0.90158,1739073275
-0.41200,0.10338,0.82867,-1.63519,-0.33264,1.13585,0.70155,-0.23811,-0.47101,-0.05926,0.42322,0.07204,0.90121,1739073275
-0.42379,0.11509,0.80323,-1.68423,-0.34026,1.17679,0.70150,-0.24643,-0.47095,-0.05971,0.42362,0.07205,0.90099,1739073275
-0.43609,0.12781,0.77677,-1.73911,-0.35257,1.22475,0.70073,-0.25424,-0.47137,-0.05838,0.42479,0.07352,0.90041,1739073275
-0.43754,0.12901,0.77425,-1.74132,-0.35338,1.22690,0.70071,-0.25529,-0.47130,-0.05814,0.42455,0.07314,0.90057,1739073276
-0.43783,0.12906,0.77384,-1.74136,-0.35331,1.22686,0.70078,-0.25557,-0.47117,-0.05821,0.42442,0.07296,0.90064,1739073276
-0.43785,0.12908,0.77357,-1.74145,-0.35335,1.22689,0.70086,-0.25562,-0.47108,-0.05827,0.42434,0.07295,0.90068,1739073276
-0.43789,0.12911,0.77349,-1.74154,-0.35333,1.22691,0.70087,-0.25566,-0.47107,-0.05831,0.42433,0.07294,0.90068,1739073276
-0.43790,0.12916,0.77343,-1.74159,-0.35334,1.22688,0.70086,-0.25567,-0.47109,-0.05834,0.42433,0.07295,0.90068,1739073276
-0.43790,0.12917,0.77337,-1.74164,-0.35333,1.22689,0.70088,-0.25568,-0.47108,-0.05837,0.42432,0.07295,0.90068,1739073277
-0.43791,0.12921,0.77333,-1.74168,-0.35334,1.22690,0.70087,-0.25568,-0.47109,-0.05837,0.42432,0.07296,0.90068,1739073277
-0.43792,0.12923,0.77329,-1.74169,-0.35332,1.22691,0.70088,-0.25570,-0.47109,-0.05838,0.42432,0.07294,0.90068,1739073277
-0.43794,0.12928,0.77323,-1.74172,-0.35331,1.22689,0.70087,-0.25571,-0.47110,-0.05841,0.42432,0.07294,0.90068,1739073277
-0.43792,0.12932,0.77321,-1.74172,-0.35332,1.22689,0.70087,-0.25570,-0.47113,-0.05840,0.42433,0.07296,0.90067,1739073277
-0.43794,0.12934,0.77315,-1.74172,-0.35331,1.22688,0.70087,-0.25571,-0.47112,-0.05841,0.42431,0.07294,0.90068,1739073278
-0.43795,0.12937,0.77314,-1.74174,-0.35330,1.22685,0.70086,-0.25572,-0.47114,-0.05843,0.42432,0.07295,0.90067,1739073278
-0.43797,0.12941,0.77310,-1.74175,-0.35329,1.22692,0.70086,-0.25573,-0.47115,-0.05840,0.42433,0.07292,0.90068,1739073278
