arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
-0.25056,-0.43897,0.91359,0.66239,-0.53874,-0.30097,0.84118,-0.27771,0.01183,0.13753,-0.02369,-0.28139,0.94939,1739146992
-0.25071,-0.43859,0.91314,0.66235,-0.53880,-0.30091,0.84120,-0.27786,0.01176,0.13753,-0.02376,-0.28147,0.94937,1739146992
-0.25065,-0.43836,0.91285,0.66226,-0.53890,-0.30088,0.84126,-0.27782,0.01175,0.13749,-0.02383,-0.28143,0.94938,1739146993
-0.25018,-0.44237,0.92431,0.63971,-0.56492,-0.30137,0.83959,-0.27785,0.01418,0.12396,-0.03104,-0.28213,0.95083,1739146993
-0.25062,-0.43795,0.92604,0.61748,-0.58629,-0.30357,0.83926,-0.27839,0.01405,0.11044,-0.03681,-0.28201,0.95232,1739146993
-0.25129,-0.43215,0.92674,0.59586,-0.60881,-0.30413,0.83893,-0.27912,0.01350,0.09789,-0.04324,-0.28205,0.95341,1739146993
-0.25210,-0.42618,0.92740,0.57504,-0.62973,-0.31175,0.83862,-0.27973,0.01255,0.08258,-0.04800,-0.28192,0.95467,1739146993
-0.25285,-0.42009,0.92930,0.55169,-0.65148,-0.31191,0.83828,-0.27990,0.01110,0.06973,-0.05358,-0.28089,0.95570,1739146994
-0.25449,-0.41268,0.92774,0.53139,-0.67298,-0.32072,0.83796,-0.28100,0.01027,0.05417,-0.05902,-0.28087,0.95640,1739146994
-0.25607,-0.40490,0.92548,0.51093,-0.69341,-0.32929,0.83782,-0.28182,0.00936,0.03887,-0.06424,-0.28036,0.95695,1739146994
-0.25802,-0.39701,0.92345,0.48937,-0.71452,-0.33772,0.83755,-0.28271,0.00839,0.02319,-0.06970,-0.27964,0.95729,1739146994
-0.25983,-0.38923,0.92131,0.46912,-0.73574,-0.34610,0.83724,-0.28344,0.00755,0.00816,-0.07538,-0.27900,0.95729,1739146994
-0.26174,-0.38113,0.91897,0.44991,-0.75453,-0.35361,0.83700,-0.28407,0.00604,-0.00563,-0.08009,-0.27805,0.95720,1739146995
-0.26390,-0.37208,0.91483,0.42871,-0.77413,-0.35686,0.83695,-0.28464,0.00497,-0.01819,-0.08626,-0.27642,0.95698,1739146995
-0.26603,-0.36360,0.91089,0.40932,-0.79406,-0.36727,0.83673,-0.28524,0.00421,-0.03337,-0.09179,-0.27546,0.95634,1739146995
-0.26853,-0.35496,0.90590,0.39054,-0.81192,-0.37779,0.83658,-0.28603,0.00350,-0.04802,-0.09687,-0.27439,0.95552,1739146995
-0.27166,-0.34517,0.89870,0.37113,-0.82954,-0.39016,0.83652,-0.28720,0.00298,-0.06370,-0.10215,-0.27338,0.95434,1739146995
-0.27491,-0.33517,0.89135,0.35183,-0.84628,-0.40008,0.83645,-0.28833,0.00215,-0.07798,-0.10736,-0.27209,0.95308,1739146996
-0.27803,-0.32534,0.88468,0.33308,-0.86231,-0.40885,0.83632,-0.28925,0.00092,-0.09132,-0.11219,-0.27061,0.95176,1739146996
-0.28118,-0.31594,0.87796,0.31493,-0.87884,-0.41805,0.83608,-0.29016,0.00011,-0.10458,-0.11744,-0.26932,0.95012,1739146996
-0.28516,-0.30542,0.86878,0.29507,-0.89530,-0.42842,0.83591,-0.29151,-0.00029,-0.11899,-0.12320,-0.26790,0.94810,1739146996
-0.28909,-0.29468,0.85942,0.27533,-0.91212,-0.44405,0.83567,-0.29272,-0.00077,-0.13576,-0.12843,-0.26677,0.94547,1739146996
-0.29275,-0.28449,0.85099,0.25712,-0.92632,-0.45437,0.83547,-0.29373,-0.00188,-0.14906,-0.13297,-0.26520,0.94327,1739146997
-0.29675,-0.27290,0.84100,0.23678,-0.94233,-0.46564,0.83526,-0.29468,-0.00299,-0.16369,-0.13838,-0.26334,0.94059,1739146997
-0.30057,-0.26287,0.83229,0.21745,-0.95749,-0.47540,0.83493,-0.29546,-0.00368,-0.17701,-0.14374,-0.26142,0.93790,1739146997
-0.30464,-0.25232,0.82305,0.19868,-0.97262,-0.49102,0.83448,-0.29646,-0.00462,-0.19277,-0.14832,-0.26015,0.93443,1739146997
-0.31022,-0.23893,0.80866,0.17840,-0.98480,-0.50318,0.83426,-0.29853,-0.00575,-0.20726,-0.15304,-0.25853,0.93101,1739146997
